t[s],x[m],y[m],v[m/s],ax[m/s^2],ay[m/s^2], az[m/s^2],roll[rad],pitch[rad],yaw[rad],gy_x[rad/sec],gy_y[rad/sec],gy_z[rad/sec],_,_,_,latitude,longitude,
68734,,,,0.017,-0.005,0.031,0.010888324,-0.093051258,-0.000262548,-0.01,0,-0.005555556,,,,,,
68735,,,,0,-0.024,0.03,0.010643436,-0.093173286,-0.000251797,-0.013333333,0.001111111,-0.001111111,,,,,,
68736,,,,0.005,-0.035,0.042,0.010276034,-0.09317342,-0.000234668,-0.013333333,-0.002222222,-0.002222222,,,,,,
68737,,,,0.015,-0.023,0.036,0.010153567,-0.093173463,-0.000228959,-0.006666667,-0.001111111,0,,,,,,
68738,,,,-0.001,-0.032,0.034,0.009908631,-0.093173548,-0.00021754,-0.004444444,0,0.003333333,,,,,,
68739,,,,-0.005,-0.042,0.04,0.009541228,-0.093173669,-0.000200412,-0.004444444,0.001111111,0.002222222,,,,,,
68740,,,,0.004,-0.042,0.041,0.009173823,-0.093173784,-0.000183283,0.002222222,0,0.001111111,,,,,,
68741,,,,0.011,-0.015,0.029,0.009051355,-0.09317382,-0.000177574,0.006666667,0,0,,,,,,
68742,,,,-0.01,-0.002,0.024,0.008928887,-0.093173857,-0.000171864,0.004444444,0.004444444,0,,,,,,
68743,,,,-0.011,-0.013,0.041,0.008806419,-0.093173892,-0.000166155,0.005555556,-0.001111111,0,,,,,,
68744,,,,0.003,-0.014,0.053,0.008806383,-0.093051955,-0.000165615,0.006666667,-0.004444444,0.002222222,,,,,,
68744,-4.32E-06,9.19E-07,0.007,,,,,,,,,,,,,,,
68744,,,,,,,,,,,,,,,,31.2656055,34.72935283,
68745,,,,0.004,0,0.012,0.008683916,-0.093051989,-0.000159913,0.007777778,0,0.004444444,,,,,,
68746,,,,-0.009,0,0.026,0.008683916,-0.093051989,-0.000159913,0.006666667,0.001111111,0.006666667,,,,,,
68747,,,,-0.002,-0.009,0.046,0.008683916,-0.093051989,-0.000159913,0.007777778,-0.003333333,0.005555556,,,,,,
68748,,,,0.013,0.022,0.025,0.008806383,-0.093051955,-0.000165615,0.01,-0.002222222,0.002222222,,,,,,
68749,,,,0.002,0.022,0.016,0.008928851,-0.093051919,-0.000171317,0.006666667,0,0.001111111,,,,,,
68750,,,,-0.006,0.013,0.016,0.008928851,-0.093051919,-0.000171317,0.002222222,0.002222222,0,,,,,,
68751,,,,-0.003,-0.007,0.038,0.008928851,-0.093051919,-0.000171317,0,-0.004444444,0.002222222,,,,,,
68752,,,,0.014,0,0.03,0.008928851,-0.093051919,-0.000171317,0.002222222,-0.001111111,0.008888889,,,,,,
68753,,,,0.006,0.001,0.025,0.008928851,-0.093051919,-0.000171317,0.004444444,0.001111111,0.006666667,,,,,,
68754,,,,-0.002,-0.005,0.037,0.008928851,-0.093051919,-0.000171317,0.004444444,0,0.003333333,,,,,,
